review_count,rating,price,categories,is_closed
581,4.5,2,italian,0
126,4.5,2,seafood,0
1201,4.0,4,steak,0
65,4.5,1,juicebars,0
178,4.5,2,poke,0
271,4.5,3,french,0
82,4.5,1,pizza,0
318,4.5,2,pizza,0
276,4.5,2,italian,0
254,4.5,2,italian,0
510,4.5,3,korean,0
1479,4.0,3,french,0
91,4.5,1,coffee,0
1166,4.0,2,buffets,0
291,4.5,1,italian,0
278,4.5,1,coffee,0
138,4.5,2,coffee,0
204,4.5,2,pubs,0
766,4.0,2,tapasmallplates,0
504,4.5,3,newamerican,0
146,4.5,2,bars,0
739,4.0,2,pizza,0
231,4.5,1,bakeries,0
63,4.5,1,coffee,0
118,4.5,1,cafes,0
143,4.5,1,mexican,0
387,4.5,2,mexican,0
174,4.5,2,seafoodmarkets,0
776,4.0,2,japanese,0
151,4.5,3,italian,0
1775,4.0,3,japanese,0
102,4.5,4,scandinavian,0
734,4.0,2,korean,0
133,4.5,3,italian,0
119,4.5,2,french,0
330,4.5,2,poke,0
240,4.5,3,newamerican,0
680,4.5,2,italian,0
106,4.5,2,tradamerican,0
90,4.5,2,indpak,0
322,4.5,2,pubs,0
439,4.5,2,breakfast_brunch,0
138,4.5,2,pizza,0
181,4.5,2,cocktailbars,0
4002,4.0,3,chinese,0
670,4.5,2,vietnamese,0
56,4.5,1,breakfast_brunch,0
253,4.5,2,ramen,0
944,4.0,3,italian,0
469,4.5,1,vegetarian,0
1282,4.0,3,breakfast_brunch,0
385,4.5,2,bars,0
574,4.5,3,fondue,0
171,4.5,1,halal,0
167,4.5,2,indpak,0
985,4.0,3,japanese,0
330,4.5,2,pizza,0
809,4.0,2,pizza,0
79,4.5,2,italian,0
3692,4.0,2,ramen,0
79,4.5,1,latin,0
1009,4.0,2,cocktailbars,0
193,4.5,1,mexican,0
152,4.5,2,indpak,0
115,4.5,1,pizza,0
858,4.0,2,mediterranean,0
2100,4.0,2,italian,0
62,4.5,2,italian,0
488,4.5,2,italian,0
601,4.5,2,bars,0
477,4.5,1,foodtrucks,0
1231,4.0,2,burgers,0
379,4.5,2,shanghainese,0
